Time,Temperature_F,DewPoint_F,Humidity,Wind,WindSpeed_mph,WindGust_mph,Pressure_in,Precip_in,Condition
12:00 AM,77,77,100,VAR,2,0,29.76,0.0,Thunder in the Vicinity
12:30 AM,79,77,94,CALM,0,0,29.76,0.0,Light Rain
1:00 AM,77,77,100,SSE,5,0,29.76,0.0,Light Rain
1:30 AM,77,77,100,S,5,0,29.76,0.0,Mostly Cloudy
2:00 AM,77,77,100,S,3,0,29.73,0.0,Fair
2:30 AM,77,77,100,SE,3,0,29.73,0.0,Fair
3:00 AM,77,77,100,CALM,0,0,29.73,0.0,Fair
3:30 AM,77,75,94,CALM,0,0,29.73,0.0,Fair
4:00 AM,79,77,94,CALM,0,0,29.73,0.0,Fair
4:30 AM,77,77,100,ENE,2,0,29.73,0.0,Fair
5:00 AM,77,77,100,ESE,2,0,29.73,0.0,Fair
5:30 AM,77,77,100,E,3,0,29.73,0.0,Fair
6:00 AM,77,77,100,CALM,0,0,29.73,0.0,Fair
6:30 AM,79,77,94,CALM,0,0,29.76,0.0,Fair
7:00 AM,79,77,94,SE,5,0,29.76,0.0,Fair
7:30 AM,81,79,94,S,2,0,29.76,0.0,Fair
8:00 AM,84,79,84,SW,5,0,29.79,0.0,Fair
8:30 AM,84,77,79,SW,9,0,29.79,0.0,Fair
9:00 AM,86,77,74,WSW,8,0,29.79,0.0,Fair
9:30 AM,88,77,70,SW,9,0,29.79,0.0,Fair
10:00 AM,88,75,66,SW,7,0,29.79,0.0,Fair
10:30 AM,90,75,62,WSW,9,0,29.79,0.0,Fair
11:00 AM,90,75,62,SW,7,0,29.79,0.0,Fair
11:30 AM,91,75,59,WSW,8,0,29.76,0.0,Fair
12:00 PM,91,73,55,W,8,0,29.76,0.0,Fair
12:30 PM,93,77,59,SW,6,0,29.76,0.0,Fair
1:00 PM,93,75,56,WSW,8,0,29.73,0.0,Fair
1:30 PM,93,75,56,W,8,0,29.73,0.0,Fair
