Time,Temp_F,DewPoint_F,Humidity,Wind,WindSpeed_mph,WindGust_mph,Pressure_in,Precip_in,Condition
12:00 AM,81,77,89,CALM,0,0,29.79,0.0,Fair
12:30 AM,81,77,89,CALM,0,0,29.79,0.0,Fair
1:00 AM,81,79,94,CALM,0,0,29.76,0.0,Fair
1:30 AM,81,79,94,CALM,0,0,29.76,0.0,Fair
2:00 AM,81,79,94,CALM,0,0,29.73,0.0,Fair
2:30 AM,81,79,94,CALM,0,0,29.73,0.0,Fair
3:00 AM,79,79,100,CALM,0,0,29.73,0.0,Fair
3:30 AM,79,79,100,CALM,0,0,29.73,0.0,Fair
4:00 AM,79,79,100,CALM,0,0,29.73,0.0,Fair
4:30 AM,79,79,100,CALM,0,0,29.73,0.0,Mostly Cloudy
5:00 AM,81,77,89,W,12,24,29.73,0.0,Light Rain
5:30 AM,79,75,89,WNW,7,0,29.73,0.0,Light Rain
6:00 AM,79,77,94,SW,6,0,29.73,0.0,Light Rain
6:30 AM,79,73,83,WSW,10,0,29.73,0.0,Mostly Cloudy
7:00 AM,79,73,83,WSW,10,0,29.73,0.0,Mostly Cloudy
7:30 AM,81,73,79,WSW,9,0,29.76,0.0,Partly Cloudy
8:00 AM,81,73,79,WSW,9,0,29.76,0.0,Partly Cloudy
8:30 AM,82,73,74,WSW,9,0,29.76,0.0,Partly Cloudy
9:00 AM,82,73,74,W,8,0,29.76,0.0,Fair
9:30 AM,84,73,70,W,8,0,29.76,0.0,Fair
10:00 AM,86,75,70,WNW,7,0,29.79,0.0,Fair
10:30 AM,88,75,66,WSW,7,0,29.76,0.0,Fair
11:00 AM,90,75,62,WSW,10,0,29.76,0.0,Fair
11:30 AM,90,75,62,WSW,13,0,29.76,0.0,Fair
12:00 PM,90,75,62,W,12,0,29.73,0.0,Partly Cloudy
12:30 PM,90,75,62,W,12,0,29.73,0.0,Partly Cloudy
1:00 PM,90,75,62,W,7,0,29.70,0.0,Partly Cloudy
1:30 PM,86,77,74,SW,15,0,29.70,0.0,Light Rain
2:00 PM,88,77,70,SW,13,0,29.70,0.0,Partly Cloudy
2:30 PM,90,77,66,SW,10,0,29.67,0.0,Partly Cloudy
3:00 PM,90,77,66,WSW,9,0,29.67,0.0,Partly Cloudy
3:30 PM,84,77,79,WSW,12,0,29.67,0.0,Light Rain Shower
4:00 PM,88,77,70,WSW,9,0,29.67,0.0,Fair
4:30 PM,88,77,70,SSW,9,0,29.67,0.0,Fair
5:00 PM,86,77,74,SSW,8,0,29.67,0.0,Fair
5:30 PM,86,79,79,SW,7,0,29.67,0.0,Fair
6:00 PM,86,77,74,WSW,8,0,29.67,0.0,Fair
6:30 PM,86,77,74,WSW,8,0,29.67,0.0,Fair
