time,temp,weather,wind,humidity,barometer,visibility
"00:50
Thu, 1 Apr",11 °C,Overcast.,2 mph,82%,1020 mbar,N/A
01:50,11 °C,Overcast.,2 mph,88%,1020 mbar,N/A
02:50,12 °C,Passing clouds.,7 mph,82%,1020 mbar,N/A
03:50,10 °C,Clear.,15 mph,82%,1021 mbar,5 km
04:50,9 °C,Passing clouds.,14 mph,87%,1021 mbar,5 km
05:50,8 °C,Passing clouds.,12 mph,93%,1022 mbar,5 km
06:20,8 °C,Low clouds.,13 mph,87%,1022 mbar,5 km
06:50,8 °C,Low clouds.,12 mph,87%,1023 mbar,6 km
07:21,8 °C,Low clouds.,13 mph,87%,1023 mbar,6 km
07:50,8 °C,Low clouds.,13 mph,87%,1023 mbar,6 km
08:22,8 °C,Partly sunny.,12 mph,87%,1024 mbar,7 km
08:50,9 °C,Partly sunny.,14 mph,82%,1024 mbar,N/A
09:21,9 °C,Partly sunny.,14 mph,82%,1024 mbar,N/A
09:50,10 °C,Partly sunny.,13 mph,76%,1024 mbar,N/A
10:50,11 °C,Partly sunny.,15 mph,72%,1025 mbar,N/A
11:20,11 °C,Scattered clouds.,13 mph,77%,1025 mbar,N/A
11:50,12 °C,Passing clouds.,15 mph,72%,1025 mbar,N/A
12:20,12 °C,Passing clouds.,16 mph,67%,1025 mbar,N/A
12:50,13 °C,Scattered clouds.,15 mph,63%,1025 mbar,N/A
13:21,13 °C,Sunny.,15 mph,63%,1025 mbar,16 km
13:50,14 °C,Sunny.,16 mph,59%,1025 mbar,16 km
14:20,14 °C,Sunny.,16 mph,59%,1025 mbar,16 km
14:50,15 °C,Passing clouds.,15 mph,55%,1025 mbar,N/A
15:20,15 °C,Scattered clouds.,16 mph,55%,1025 mbar,N/A
15:50,14 °C,Passing clouds.,17 mph,59%,1025 mbar,N/A
16:20,14 °C,Scattered clouds.,17 mph,59%,1025 mbar,N/A
16:50,13 °C,Scattered clouds.,15 mph,63%,1025 mbar,N/A
17:20,12 °C,Scattered clouds.,17 mph,67%,1025 mbar,N/A
17:50,11 °C,Passing clouds.,16 mph,67%,1026 mbar,N/A
18:20,11 °C,Scattered clouds.,15 mph,67%,1026 mbar,N/A
18:50,10 °C,Scattered clouds.,16 mph,71%,1026 mbar,N/A
19:20,10 °C,Scattered clouds.,15 mph,67%,1026 mbar,N/A
19:50,9 °C,Passing clouds.,17 mph,71%,1026 mbar,N/A
20:20,9 °C,Passing clouds.,15 mph,66%,1027 mbar,N/A
20:50,8 °C,Passing clouds.,14 mph,71%,1027 mbar,N/A
21:50,7 °C,Passing clouds.,15 mph,71%,1028 mbar,N/A
22:50,6 °C,Passing clouds.,13 mph,76%,1028 mbar,N/A
23:50,6 °C,Passing clouds.,16 mph,71%,1028 mbar,N/A
"00:50
Fri, 2 Apr",6 °C,Overcast.,15 mph,71%,1029 mbar,N/A
01:50,6 °C,Passing clouds.,10 mph,76%,1029 mbar,N/A
02:50,6 °C,Overcast.,12 mph,71%,1028 mbar,N/A
03:50,5 °C,Passing clouds.,14 mph,70%,1028 mbar,N/A
04:50,5 °C,Overcast.,14 mph,70%,1028 mbar,N/A
05:50,5 °C,Overcast.,13 mph,70%,1028 mbar,N/A
06:50,5 °C,Overcast.,10 mph,70%,1029 mbar,N/A
07:24,5 °C,Overcast.,12 mph,70%,1029 mbar,N/A
07:50,5 °C,Overcast.,14 mph,70%,1029 mbar,N/A
08:20,6 °C,Partly sunny.,13 mph,66%,1029 mbar,N/A
08:50,6 °C,Overcast.,16 mph,66%,1030 mbar,N/A
09:20,6 °C,Partly sunny.,14 mph,66%,1030 mbar,N/A
09:50,7 °C,Partly sunny.,10 mph,61%,1030 mbar,N/A
10:20,7 °C,Partly sunny.,12 mph,61%,1030 mbar,N/A
10:50,7 °C,Partly sunny.,14 mph,61%,1030 mbar,N/A
11:20,8 °C,Partly sunny.,15 mph,57%,1030 mbar,N/A
11:50,8 °C,Partly sunny.,15 mph,57%,1030 mbar,N/A
12:21,8 °C,Partly sunny.,13 mph,62%,1030 mbar,N/A
13:25,10 °C,Partly sunny.,15 mph,54%,1030 mbar,N/A
13:50,9 °C,Scattered clouds.,16 mph,58%,1030 mbar,N/A
14:20,10 °C,Scattered clouds.,14 mph,54%,1030 mbar,N/A
14:50,10 °C,Passing clouds.,15 mph,54%,1030 mbar,N/A
15:20,11 °C,Scattered clouds.,16 mph,54%,1030 mbar,N/A
15:50,10 °C,Scattered clouds.,16 mph,58%,1030 mbar,N/A
16:50,8 °C,Partly sunny.,16 mph,66%,1030 mbar,N/A
17:20,8 °C,Partly sunny.,15 mph,62%,1030 mbar,N/A
17:50,7 °C,Partly sunny.,16 mph,66%,1030 mbar,N/A
18:20,7 °C,Partly sunny.,15 mph,66%,1031 mbar,N/A
18:50,7 °C,Partly sunny.,17 mph,66%,1031 mbar,N/A
19:20,8 °C,Partly sunny.,15 mph,62%,1031 mbar,N/A
19:50,8 °C,Passing clouds.,16 mph,57%,1031 mbar,N/A
20:20,7 °C,Passing clouds.,14 mph,61%,1031 mbar,N/A
20:50,7 °C,Passing clouds.,17 mph,66%,1031 mbar,N/A
21:50,8 °C,Overcast.,14 mph,62%,1032 mbar,N/A
22:50,8 °C,Overcast.,12 mph,66%,1031 mbar,N/A
23:50,6 °C,Passing clouds.,9 mph,76%,1031 mbar,N/A
"00:50
Sat, 3 Apr",6 °C,Passing clouds.,10 mph,81%,1032 mbar,N/A
01:50,6 °C,Passing clouds.,8 mph,81%,1031 mbar,N/A
02:50,6 °C,Passing clouds.,7 mph,81%,1031 mbar,N/A
03:50,6 °C,Passing clouds.,13 mph,81%,1031 mbar,N/A
04:50,6 °C,Passing clouds.,15 mph,71%,1031 mbar,N/A
05:50,6 °C,Overcast.,14 mph,66%,1031 mbar,N/A
06:50,6 °C,Partly sunny.,13 mph,71%,1032 mbar,N/A
07:19,6 °C,Partly sunny.,20 mph,66%,1032 mbar,N/A
07:50,6 °C,Partly sunny.,15 mph,66%,1032 mbar,N/A
08:19,6 °C,Overcast.,12 mph,66%,1032 mbar,N/A
08:50,6 °C,Overcast.,15 mph,66%,1032 mbar,N/A
09:21,7 °C,Partly sunny.,13 mph,61%,1033 mbar,N/A
09:50,7 °C,Overcast.,15 mph,61%,1033 mbar,N/A
10:20,7 °C,Partly sunny.,14 mph,66%,1033 mbar,N/A
