Time,Temp_F,DewPoint_F,Humidity,Wind,WindSpeed_mph,WindGust_mph,Pressure_in,Precip_,Condition
12:00 AM,79,75,89,NE,8,0,29.93,0.0,Mostly Cloudy
12:30 AM,79,75,89,NE,12,0,29.90,0.0,Mostly Cloudy
1:00 AM,79,75,89,NNE,6,0,29.93,0.0,Mostly Cloudy
1:30 AM,79,75,89,NE,7,0,29.90,0.0,Mostly Cloudy
2:00 AM,79,75,89,NE,9,0,29.90,0.0,Mostly Cloudy
2:30 AM,79,75,89,NE,10,0,29.87,0.0,Mostly Cloudy
3:00 AM,79,75,89,NE,8,0,29.87,0.0,Mostly Cloudy
3:30 AM,79,75,89,NNE,7,0,29.87,0.0,Mostly Cloudy
4:00 AM,79,75,89,NE,7,0,29.87,0.0,Mostly Cloudy
4:30 AM,79,75,89,NNE,7,0,29.87,0.0,Mostly Cloudy
5:00 AM,79,75,89,NE,8,0,29.87,0.0,Mostly Cloudy
5:30 AM,79,75,89,NNE,8,0,29.87,0.0,Mostly Cloudy
6:00 AM,79,75,89,NNE,7,0,29.87,0.0,Mostly Cloudy
6:30 AM,79,75,89,NNE,8,0,29.87,0.0,Mostly Cloudy
7:00 AM,79,75,89,NE,6,0,29.90,0.0,Mostly Cloudy
7:30 AM,79,75,89,NE,6,0,29.90,0.0,Mostly Cloudy
8:00 AM,81,75,84,NE,7,0,29.90,0.0,Mostly Cloudy
8:30 AM,81,75,84,NE,9,0,29.90,0.0,Mostly Cloudy
9:00 AM,82,75,79,NE,10,0,29.90,0.0,Mostly Cloudy
9:30 AM,84,75,74,NE,12,0,29.93,0.0,Mostly Cloudy
10:00 AM,82,75,79,NNE,8,0,29.93,0.0,Mostly Cloudy
10:30 AM,84,75,74,NE,12,0,29.93,0.0,Mostly Cloudy
11:00 AM,86,75,70,NE,13,0,29.90,0.0,Mostly Cloudy
11:30 AM,88,75,66,NE,13,0,29.90,0.0,Mostly Cloudy
12:00 PM,86,75,70,NE,14,0,29.90,0.0,Partly Cloudy
12:30 PM,88,75,66,NE,13,0,29.90,0.0,Partly Cloudy
1:00 PM,88,75,66,NE,13,0,29.87,0.0,Partly Cloudy
1:30 PM,88,75,66,NE,14,0,29.87,0.0,Mostly Cloudy
2:00 PM,88,75,66,NNE,12,0,29.84,0.0,Mostly Cloudy
2:30 PM,88,75,66,NE,15,0,29.84,0.0,Mostly Cloudy
3:00 PM,88,75,66,NE,14,0,29.81,0.0,Mostly Cloudy
3:30 PM,88,75,66,NE,14,0,29.81,0.0,Mostly Cloudy
4:00 PM,88,73,62,NE,13,0,29.81,0.0,Mostly Cloudy
4:30 PM,88,75,66,NE,15,0,29.78,0.0,Mostly Cloudy
5:00 PM,86,75,70,NE,15,0,29.78,0.0,Mostly Cloudy
5:30 PM,86,75,70,NE,15,0,29.78,0.0,Mostly Cloudy
6:00 PM,84,73,70,NNE,13,24,29.78,0.0,Mostly Cloudy
6:30 PM,84,73,70,NNE,13,0,29.78,0.0,Mostly Cloudy
7:00 PM,82,75,79,NNE,13,0,29.81,0.0,Mostly Cloudy
7:30 PM,82,75,79,NE,10,0,29.81,0.0,Mostly Cloudy
8:00 PM,82,75,79,NE,9,0,29.84,0.0,Mostly Cloudy
8:30 PM,81,75,84,NNE,9,0,29.84,0.0,Mostly Cloudy
9:00 PM,81,75,84,N,7,0,29.84,0.0,Mostly Cloudy
9:30 PM,81,75,84,NNE,6,0,29.87,0.0,Mostly Cloudy
10:00 PM,81,75,84,NNE,7,0,29.87,0.0,Mostly Cloudy
10:30 PM,81,75,84,NE,9,0,29.87,0.0,Mostly Cloudy
11:00 PM,81,75,84,NE,9,0,29.90,0.0,Mostly Cloudy
11:30 PM,81,75,84,NE,10,0,29.90,0.0,Mostly Cloudy
12:00 AM,81,75,84,NE,8,0,29.90,0.0,Mostly Cloudy
12:30 AM,81,75,84,NE,8,0,29.90,0.0,Mostly Cloudy
1:00 AM,81,75,84,NE,9,0,29.90,0.0,Mostly Cloudy
1:30 AM,81,75,84,NE,9,0,29.87,0.0,Mostly Cloudy
2:00 AM,81,75,84,NE,8,0,29.87,0.0,Mostly Cloudy
2:30 AM,79,75,89,NE,7,0,29.84,0.0,Mostly Cloudy
3:00 AM,79,75,89,NNE,8,0,29.84,0.0,Mostly Cloudy
3:30 AM,79,75,89,NNE,7,0,29.81,0.0,Mostly Cloudy
4:00 AM,79,75,89,NNE,10,0,29.81,0.0,Mostly Cloudy
4:30 AM,79,75,89,NNE,8,0,29.81,0.0,Mostly Cloudy
5:00 AM,79,75,89,NNE,10,0,29.81,0.0,Mostly Cloudy
5:30 AM,79,75,89,NNE,8,0,29.81,0.0,Mostly Cloudy
6:00 AM,79,75,89,VAR,7,0,29.84,0.0,Mostly Cloudy
6:30 AM,79,75,89,VAR,5,0,29.84,0.0,Mostly Cloudy
7:00 AM,79,75,89,VAR,5,0,29.84,0.0,Mostly Cloudy
7:30 AM,79,75,89,NNE,6,0,29.84,0.0,Mostly Cloudy
8:00 AM,81,75,84,NNE,7,0,29.87,0.0,Mostly Cloudy
8:30 AM,81,75,84,NNE,6,0,29.87,0.0,Mostly Cloudy
9:00 AM,82,75,79,NE,7,0,29.87,0.0,Mostly Cloudy
9:30 AM,82,75,79,NE,10,0,29.87,0.0,Mostly Cloudy
10:00 AM,84,75,74,NE,12,0,29.87,0.0,Mostly Cloudy
10:30 AM,86,75,70,NE,13,0,29.87,0.0,Mostly Cloudy
11:00 AM,86,73,66,NNE,14,0,29.87,0.0,Mostly Cloudy
11:30 AM,88,75,66,NNE,9,0,29.87,0.0,Mostly Cloudy
12:00 PM,88,75,66,NNE,9,21,29.87,0.0,Mostly Cloudy
12:30 PM,88,73,62,NE,14,0,29.84,0.0,Mostly Cloudy
1:00 PM,88,73,62,NNE,10,0,29.84,0.0,Mostly Cloudy
1:30 PM,88,73,62,NE,12,0,29.84,0.0,Mostly Cloudy
2:00 PM,90,73,59,NNE,10,0,29.81,0.0,Mostly Cloudy
2:30 PM,90,72,55,NE,12,0,29.81,0.0,Mostly Cloudy
3:00 PM,90,72,55,NNE,10,0,29.78,0.0,Mostly Cloudy
3:30 PM,90,72,55,NE,12,0,29.78,0.0,Mostly Cloudy
4:00 PM,90,73,59,NE,12,0,29.78,0.0,Mostly Cloudy
4:30 PM,88,73,62,NE,12,0,29.75,0.0,Mostly Cloudy
5:00 PM,88,72,58,NE,12,0,29.75,0.0,Mostly Cloudy
5:30 PM,88,72,58,NE,10,0,29.75,0.0,Mostly Cloudy
6:00 PM,88,73,62,NE,13,0,29.75,0.0,Mostly Cloudy
6:30 PM,86,72,62,NE,9,0,29.75,0.0,Mostly Cloudy
7:00 PM,84,72,66,NE,10,0,29.78,0.0,Mostly Cloudy
7:30 PM,84,73,70,NNE,9,0,29.78,0.0,Mostly Cloudy
8:00 PM,82,75,79,NE,10,0,29.78,0.0,Mostly Cloudy
8:30 PM,82,75,79,NE,9,0,29.78,0.0,Mostly Cloudy
9:00 PM,81,73,79,NNE,8,0,29.81,0.0,Mostly Cloudy
9:30 PM,81,73,79,NNE,7,0,29.81,0.0,Mostly Cloudy
10:00 PM,81,73,79,N,7,0,29.84,0.0,Mostly Cloudy
10:30 PM,81,73,79,N,5,0,29.84,0.0,Mostly Cloudy
11:00 PM,79,75,89,N,5,0,29.84,0.0,Mostly Cloudy
11:30 PM,79,75,89,VAR,5,0,29.84,0.0,Mostly Cloudy
12:00 AM,79,75,89,N,3,0,29.84,0.0,Mostly Cloudy
12:30 AM,79,75,89,NNW,3,0,29.84,0.0,Mostly Cloudy
1:00 AM,79,73,83,N,3,0,29.84,0.0,Mostly Cloudy
1:30 AM,79,75,89,NNW,3,0,29.84,0.0,Mostly Cloudy
2:00 AM,79,75,89,VAR,3,0,29.81,0.0,Mostly Cloudy
2:30 AM,79,75,89,N,3,0,29.78,0.0,Mostly Cloudy
3:00 AM,79,75,89,N,3,0,29.78,0.0,Mostly Cloudy
3:30 AM,77,75,94,N,3,0,29.75,0.0,Mostly Cloudy
4:00 AM,79,75,89,NNE,5,0,29.75,0.0,Mostly Cloudy
4:30 AM,79,75,89,N,5,0,29.75,0.0,Mostly Cloudy
5:00 AM,79,75,89,VAR,5,0,29.75,0.0,Partly Cloudy
5:30 AM,79,75,89,VAR,5,0,29.75,0.0,Partly Cloudy
6:00 AM,79,75,89,VAR,2,0,29.78,0.0,Partly Cloudy
